4471990.420887 -208890.916975 5278059.042896
4239448.782366 -810773.416053 5410172.038810
3968514.039176 -1405313.425524 5493289.678954
3661639.818309 -1987126.698995 5526659.237109
3321605.220227 -2550944.245366 5509978.513388
2951489.650908 -3091660.045627 5443398.571008
2554644.934261 -3604377.293760 5327522.368239
2134664.957493 -4084452.742969 5163399.297915
1695353.124309 -4527538.755644 4952515.683977


4474432.846776 -201947.626416 5276258.983018
4242345.673608 -803882.943130 5408929.320981
3971839.161076 -1398538.171427 5492615.557419
3665363.058047 -1980528.021474 5526559.816818
3325692.859568 -2544581.903066 5510454.694706
2955904.671557 -3085591.656906 5444446.041564
2559347.353108 -3598657.814885 5329131.641976
2139612.188703 -4079133.970426 5165555.801002
1700500.364991 -4522668.857062 4955199.886788


4476869.909450 -195004.093796 5274452.598826
4245237.479823 -796991.506645 5407680.119815
3975159.522187 -1391761.240992 5491934.852239
3669081.904350 -1973926.970021 5526453.772194
3329776.512615 -2538216.510739 5510924.270996
2960316.149153 -3079519.569683 5445486.986212
2564046.704229 -3592934.022529 5330734.528026
2144556.855298 -4073810.308488 5167706.112469
1705645.567393 -4517793.537448 4957878.150119


4479301.605988 -188060.327437 5272639.892486
4248124.197544 -790099.114857 5406424.436810
3978475.118530 -1384982.642342 5491247.564229
3672796.352759 -1967323.552548 5526341.103365
3333856.174472 -2531848.076015 5511387.241695
2964724.078408 -3073443.791239 5446521.403704
2568742.981991 -3587205.923555 5332331.024466
2149498.951350 -4068481.763535 5169850.229739
1710788.725347 -4512912.802644 4960550.470760


4481727.933474 -181116.335663 5270820.866172
4251005.823312 -783205.776027 5405162.273472
3981785.946130 -1378202.383602 5490553.694213
3676506.398824 -1960717.776971 5526221.810466
3337931.840250 -2525476.606527 5511843.606247
2969128.454039 -3067364.328855 5447549.292800
2573436.180767 -3581473.524827 5333921.129383
2154438.470936 -4063148.341954 5171988.150241
1715929.832689 -4508026.658501 4963216.845507


4156118.074602 -455832.333767 5515354.968944
2333503.342178 -4632336.002395 4582190.121870
1967906.764332 -5080855.787069 4267609.218040


4156415.922752 -448271.249104 5515750.226789
2337591.057835 -4626925.743571 4585571.633919
1972219.029698 -5075951.829634 4271452.460480


4156708.788873 -440709.627127 5516138.873258
2341675.971571 -4621509.938749 4588947.649539
1976528.931091 -5071041.787980 4275290.583004


4262481.337857 -755623.115569 5400048.847153
3994981.489819 -1351064.910317 5487712.410843
3691302.470770 -1934271.252020 5525678.401146
3354194.444935 -2499960.533735 5513602.992177
2986710.314796 -3043009.785728 5451595.540707
2592178.073543 -3558501.069879 5340217.595821
2174170.666247 -4041766.017295 5180477.813433
1736473.632719 -4488428.105775 4973822.821750
1283050.825073 -4894442.294278 4722124.120378


4265337.452167 -748725.165496 5398754.304994
3998268.414292 -1344276.473074 5486985.643431
3694990.438510 -1927653.804745 5525525.990199
3358250.057133 -2493574.005057 5514026.317952
2991096.843201 -3036912.013039 5452590.769502
2596855.793074 -3552747.275553 5341775.714688
2179097.214752 -4036408.308583 5182584.711807
1741604.394612 -4483515.002918 4976459.419233
1288339.335380 -4890018.291097 4725266.539535


4268188.453892 -741826.317974 5397453.291694
4001550.546298 -1337486.424533 5486252.299121
3698673.977302 -1921034.046916 5525366.956159
3362301.644013 -2487184.487492 5514443.034419
